latitude,longitude,timestamp
40.23422,-77.13796,
40.23419,-77.13795,
40.23412,-77.13792,
40.23412,-77.13792,
40.23408,-77.1381,
40.23401,-77.13836,
40.23393,-77.13869,
40.23391,-77.13879,
40.23391,-77.13879,
40.23391,-77.13879,
40.23389,-77.13885,
40.2338,-77.13921,
40.23374,-77.13945,
40.23368,-77.13964,
40.23363,-77.13982,
40.23357,-77.13999,
40.2335,-77.14015,
40.23345,-77.14026,
40.23345,-77.14026,
40.23345,-77.14026,
40.23342,-77.14035,
40.23335,-77.1405,
40.23328,-77.14063,
40.23322,-77.14075,
40.23313,-77.14092,
40.23289,-77.14135,
40.23282,-77.14149,
40.23269,-77.14159,
40.2325,-77.14194,
40.2325,-77.14194,
40.2325,-77.14194,
40.23246,-77.14201,
40.23241,-77.1421,
40.23225,-77.14241,
40.23221,-77.14247,
40.23201,-77.14285,
40.23192,-77.14301,
40.23178,-77.14326,
40.23177,-77.14334,
40.23177,-77.14334,
40.23177,-77.14334,
40.23175,-77.14345,
40.23159,-77.14375,
40.23132,-77.14423,
40.23127,-77.14433,
40.23122,-77.14443,
40.23118,-77.14451,
40.23111,-77.14463,
40.23053,-77.14569,
40.23,-77.14666,
40.23,-77.14666,
40.2299,-77.14691,
40.22987,-77.147,
40.22987,-77.147,
40.22987,-77.147,
40.22985,-77.14706,
40.2298,-77.14722,
40.22976,-77.14736,
40.22973,-77.1475,
40.2297,-77.14764,
40.22969,-77.14777,
40.22968,-77.14791,
40.22965,-77.14883,
40.22964,-77.1491,
40.22964,-77.1494,
40.22964,-77.15,
40.22964,-77.15,
40.22964,-77.15,
40.22964,-77.15005,
40.22973,-77.15082,
40.22977,-77.15146,
40.2298,-77.15198,
40.2298,-77.15198,
40.2298,-77.15198,
40.22981,-77.1521,
40.22986,-77.15343,
40.22992,-77.15445,
40.22992,-77.15464,
40.22991,-77.15477,
40.2299,-77.15489,
40.22989,-77.15492,
40.22989,-77.15492,
40.22989,-77.15492,
40.22988,-77.155,
40.22985,-77.15509,
40.22982,-77.15515,
40.22979,-77.15523,
40.22975,-77.1553,
40.22975,-77.1553,
40.22967,-77.15549,
40.22958,-77.15559,
40.22955,-77.15561,
40.22955,-77.15561,
40.22955,-77.15561,
40.22933,-77.15579,
40.22915,-77.15588,
40.2287,-77.15617,
40.22864,-77.15621,
40.22858,-77.15626,
40.22853,-77.1563,
40.22845,-77.15636,
40.22839,-77.15641,
40.2283,-77.15651,
40.22822,-77.15663,
40.2281,-77.1568,
40.22805,-77.15692,
40.22799,-77.15708,
40.22795,-77.15727,
40.22785,-77.15766,
40.22781,-77.15793,
40.22781,-77.15793,
40.22781,-77.15793,
40.22775,-77.15828,
40.22766,-77.15857,
40.22757,-77.15862,
40.22746,-77.15934,
40.22746,-77.15934,
40.22746,-77.15934,
40.22745,-77.1594,
40.2273,-77.16025,
40.22712,-77.16122,
40.22698,-77.16194,
40.22691,-77.16226,
40.22691,-77.16226,
40.22691,-77.16226,
40.22681,-77.16273,
40.22668,-77.16331,
40.22664,-77.16349,
40.22515,-77.16938,
40.22515,-77.16938,
40.22515,-77.16938,
40.22443,-77.1722,
40.22443,-77.1722,
40.22443,-77.1722,
40.22195,-77.18198,
40.22195,-77.18198,
40.22195,-77.18198,
40.22084,-77.18638,
40.22077,-77.18664,
40.22064,-77.18715,
40.22064,-77.18715,
40.22064,-77.18715,
40.22034,-77.18827,
40.22028,-77.18852,
40.21985,-77.19021,
40.21979,-77.19043,
40.21974,-77.19061,
40.21974,-77.19061,
40.21636,-77.20381,
40.21617,-77.20456,
40.21561,-77.20681,
40.21556,-77.20701,
40.21526,-77.20814,
40.2148,-77.20994,
40.21434,-77.21173,
40.21388,-77.21353,
40.21369,-77.2143,
40.21369,-77.2143,
40.21369,-77.2143,
40.21343,-77.21532,
40.21279,-77.21782,
40.21251,-77.21891,
